channelCode,itemCode,title,views
UCNg4RDHGls-HpbV10kWPlsw,IxWpEqERtLM,"Sai quanto spende MrBeast?",57365
UCNg4RDHGls-HpbV10kWPlsw,wxxQ9gqvNT4,"Ti odio...perché sei pelato...#shorts",53928
UCNg4RDHGls-HpbV10kWPlsw,8BwIZReoy0k,"Ecco il nuovo rivoluzionario iPhone 13!",50074
UCNg4RDHGls-HpbV10kWPlsw,IzXbcyjlfIw,"È urgente!",32691
UCNg4RDHGls-HpbV10kWPlsw,OHJHU79PNbw,"La Cina (Ri)BANNA Bitcoin &co...e ora che succede?",29484
UCNg4RDHGls-HpbV10kWPlsw,fol7LPHJIxE,"Yotobi in 6 minuti",31867
UCNg4RDHGls-HpbV10kWPlsw,Sfl-pl_GTMU,"4 chiacchiere con Gino D'Acampo",29212
UCNg4RDHGls-HpbV10kWPlsw,MeLhpJnVGVM,"Devi essere una persona per bene",22870
UCNg4RDHGls-HpbV10kWPlsw,I917itwjxMo,"Dieta, Digiuno e dintorni - 4 chiacchiere con il Prof. Valter Longo",19950
UCNg4RDHGls-HpbV10kWPlsw,yoGpmrjRg_g,"La grande bufala del ""noi mettiamo il consumatore al centro""...",18836
UCNg4RDHGls-HpbV10kWPlsw,qr9fXnuAvN4,"Cambiamento climatico, elettrificazione e dintorni con Mario Tozzi, CNR",18233
UCNg4RDHGls-HpbV10kWPlsw,h-jRIliZynk,"Non ragioniam di lor, ma guarda e passa #shorts",16348
UCNg4RDHGls-HpbV10kWPlsw,QvcWipXeFRE,"Monty Live",9314
UCNg4RDHGls-HpbV10kWPlsw,ym8xfRvhkOI,"Cambiamento climatico, elettrificazione e dintorni con Antonio Cammisecra, Enel",7664
UCNg4RDHGls-HpbV10kWPlsw,d6VURF9jGQk,"Cambiamento climatico, elettrificazione e dintorni con Nicola Armaroli, CNR",7013
UCNg4RDHGls-HpbV10kWPlsw,cLYM36Z8MkE,"Monty Live! Come stai?",6687
UCNg4RDHGls-HpbV10kWPlsw,LAI3ksteXOM,"Non ho parole...(poi però non lamentiamoci del lavoro) #shorts",6126
UCNg4RDHGls-HpbV10kWPlsw,MpxMDkbPCHE,"Cambiamento climatico, elettrificazione e dintorni con Alberto De Paoli, Enel",5664
UCNg4RDHGls-HpbV10kWPlsw,uytDTpsILFw,"Cambiamento climatico, elettrificazione e dintorni con Francesco Venturini, Enel X",5662
UCNg4RDHGls-HpbV10kWPlsw,U4pWWi111ag,"Persuasione: la tecnica della ripetizione...",5562
UCNg4RDHGls-HpbV10kWPlsw,H_ap3AIgU9E,"Mentalità olimpica con Valentina Marchei",5625
UCNg4RDHGls-HpbV10kWPlsw,Y-4yci_uu2M,"300Mln$?!? Ma Apple e Google sono davvero concorrenti? #shorts",5397
